2,5,11,ABR 15 FS B2-R5 C11, - Mx 1553#85,2,,0,0,0,0,0,1,2,2,2,2,2,3,3,4,4,4,3,3,3,6,8,10,10,10,14,15,16,18,25,25,28,27,26,,,,5,5,5,5,10,10,10,15,15,20,20,20,25,30,30,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,
2,5,12,28001, - Mx 1553#7,2,,1,3,8,4,3,4,5,7,9,13,15,17,22,22,22,27,33,34,38,40,42,48,49,50,52,54,58,58,61,70,63,60,59,,15,20,20,20,20,25,30,35,35,35,35,35,40,40,45,45,45,45,50,55,55,55,55,55,55,55,50,,,,,,,,,,F,,,,,,,
2,6,12,28002, - Mx 1553#87,2,,0,0,0,0,0,2,3,3,3,3,3,3,6,5,5,6,7,8,11,12,14,15,17,18,22,21,23,29,36,37,40,39,41,,10,15,15,15,20,15,25,30,30,30,35,35,40,45,45,50,55,55,55,60,60,60,60,60,60,60,60,,,,,,,,,,,,,A,,,,
2,6,11,27993, - Mx 1553#11,2,,0,0,0,2,2,3,3,4,4,4,4,4,5,6,6,9,13,14,17,18,18,19,21,22,22,25,26,25,29,32,32,31,30,,15,15,15,20,20,25,30,30,30,30,30,35,35,40,40,40,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,A,,,F,,,,,,
2,6,10,27986, - Mx 1553#36,2,,1,1,1,3,6,6,5,7,7,7,7,7,6,8,8,16,18,21,20,21,22,25,25,25,30,27,32,36,49,53,57,54,54,,20,25,30,35,35,30,35,35,40,45,55,50,60,60,60,60,65,70,70,75,75,75,75,75,70,70,70,,,,,,,,,,,,F,,,,,
2,6,9,ABR 15 FS B2-R6 C9, - Goliath,2,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,6,8,ABR 15 FS B2-R6 C8, - Goliath,2,,0,0,1,0,0,0,2,2,2,2,2,2,2,3,3,4,5,6,7,7,7,8,7,9,9,9,13,18,24,23,24,22,21,,15,25,20,30,30,30,35,40,50,50,60,60,70,75,75,70,70,70,70,75,75,80,70,70,70,70,65,,,,,,A,,F,,,,,,,,,
2,6,7,27961, - Mx 1553#82,2,,3,0,6,7,4,8,9,9,10,10,14,19,18,24,35,37,42,43,49,53,59,63,69,74,83,83,95,110,129,155,153,158,159,,20,25,30,35,35,30,35,35,40,35,40,40,45,45,50,50,50,55,55,60,60,65,65,65,65,65,65,,,,,,,,,,,A,,,,,,
2,6,6,27953, - Mx 1553#114,2,,0,0,0,0,2,1,3,3,4,4,4,6,6,7,7,10,9,15,16,20,23,23,24,25,24,27,30,31,56,48,60,63,66,,10,15,15,15,15,20,20,20,20,20,25,20,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,,,,,,,,,,,,,,,,,
2,6,5,27944, - Mx 1553#26,2,,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3,5,5,6,6,6,6,6,6,7,7,6,7,,5,5,5,10,10,10,20,20,20,20,25,20,20,20,25,25,25,25,25,25,25,25,25,25,15,15,15,,,,,,,,,,,,,,,,,
2,6,4,27935, - Mx 1553#3,2,,0,0,2,3,4,5,4,4,4,4,4,4,4,4,4,4,8,15,17,18,18,18,18,18,18,18,18,18,19,22,24,24,29,,15,25,25,25,25,25,30,30,30,30,35,35,40,40,40,40,40,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,A,,,,
2,6,3,27926, - Mx 1553#74,2,,0,0,0,0,0,1,2,2,3,4,4,4,5,4,5,9,10,12,13,13,14,17,17,19,19,23,23,27,34,35,36,34,36,,15,20,20,20,25,25,35,35,35,35,35,35,40,40,40,45,45,45,50,55,55,55,50,50,50,50,50,,,,,,A,,,,,F,,,,,,
2,6,2,27917, - Mx 1553#9,2,,1,1,1,3,7,6,6,7,7,7,7,7,7,6,7,9,15,18,19,20,22,23,23,25,26,26,28,26,24,24,28,25,28,,20,20,25,25,25,25,30,30,35,30,35,35,35,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,
2,6,1,27908, - Mx 1553#32,2,,0,0,3,3,2,3,3,3,4,4,4,8,8,9,9,10,14,16,17,20,21,25,26,26,29,33,40,38,40,45,45,46,48,,15,20,20,20,20,20,25,25,30,30,30,30,35,35,35,40,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,A,,F,,,,
2,7,1,27909, - Mx 1553#18,2,,0,0,3,5,5,8,7,9,10,10,10,10,10,10,13,18,30,34,28,39,46,57,64,74,75,79,79,81,100,97,103,103,97,,25,25,25,30,30,30,35,40,40,40,50,50,55,55,55,50,60,60,55,55,55,55,55,55,55,55,55,,,,A,,,F,,,,,,,,,,
2,7,2,27918, - Mx 1553#53,2,,3,3,6,7,2,4,4,5,3,5,3,3,5,6,7,10,9,11,11,15,19,22,24,25,30,33,32,34,33,36,39,36,34,,10,10,10,15,15,15,20,25,30,30,40,40,40,45,45,45,50,50,50,50,50,50,50,45,45,45,45,,,,,,A,,,,F,,,,,,,
2,7,3,27927, - Mx 1553#80,2,,0,0,1,3,2,3,3,3,3,4,4,4,4,4,6,7,11,12,15,16,18,19,19,20,22,25,26,27,32,32,37,37,37,,15,20,20,20,20,20,30,25,25,25,30,30,30,35,35,30,30,25,25,25,25,25,25,25,25,25,25,,,A,,F,,,,,,,,,,,,
2,7,4,27936, - Mx 1553#17,2,,0,0,1,1,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,6,7,7,8,7,6,,,5,5,5,5,10,10,15,15,15,15,20,20,20,20,25,25,30,35,35,35,35,35,25,25,25,25,,,,,,,,,,A,,,F,,,,
2,7,5,27945, - Mx 1553#66,2,,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,7,6,27954, - Mx 1553#1,2,,0,1,2,2,2,2,3,4,4,4,4,5,5,5,5,6,6,7,8,8,10,11,17,18,23,21,26,26,28,30,35,33,33,,5,10,10,10,10,15,15,15,20,20,25,25,25,30,30,35,40,45,45,45,50,50,50,50,50,50,50,,,,,,,,,,,,,,,,,
2,7,7,27962, - Mx 1553#5,2,,0,0,0,0,1,2,3,4,4,5,6,6,6,6,8,10,10,9,11,11,15,16,22,22,28,28,30,33,33,33,35,40,37,,5,10,5,5,5,5,10,15,15,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
2,7,8,27970, - Mx 1553#101,2,,1,1,2,2,5,5,4,7,9,10,12,15,21,22,23,25,31,33,45,50,54,56,63,67,74,79,82,86,107,128,129,138,135,,15,15,20,25,30,30,35,35,40,40,50,50,50,50,55,55,60,65,65,65,65,70,70,70,70,70,70,,,,,,,,,,,,,A,,,,
2,7,9,27978, - Mx 1553#23,2,,0,0,1,0,1,1,2,4,4,4,4,4,4,5,6,11,14,17,21,20,21,24,23,25,28,28,30,31,38,39,40,40,40,,15,15,20,20,25,25,25,25,30,30,40,40,40,40,45,45,45,45,50,50,50,50,50,50,50,50,50,,,,,,A,,,F,,,,,,,,
2,7,10,27987, - Mx 1553#41,2,,0,0,2,4,4,1,3,6,6,9,12,16,20,19,23,25,28,33,59,45,53,57,59,60,67,70,72,86,95,108,148,147,144,,15,15,15,15,20,20,20,25,25,25,25,25,30,30,35,40,40,40,45,45,45,45,50,50,50,50,50,,,,,,,,,,,A,,,,,,
2,7,11,27994, - Mx 1553#37,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,7,12,28003, - Mx 1553#42,2,,1,7,7,6,6,8,9,10,10,11,11,13,14,13,19,22,31,31,31,42,39,40,42,46,49,52,53,55,54,57,55,55,50,,25,25,30,25,25,30,35,40,40,35,40,40,45,45,40,40,45,45,45,45,45,45,45,45,45,45,40,,,,A,,,F,,,,,,,,,,
2,8,12,28004, - Mx 1553#48,2,,0,1,5,3,5,7,7,8,8,8,10,13,15,16,19,23,25,26,30,35,38,40,43,45,49,51,54,60,67,79,91,88,85,,15,15,20,20,20,20,25,25,25,25,35,35,40,40,40,40,45,45,50,55,55,55,55,55,55,55,55,,,,,,,,,,,,A,,,,,
2,8,11,27995, - Mx 1553#69,2,,1,1,4,2,3,4,4,3,4,4,4,4,6,7,8,11,12,15,18,21,23,26,29,38,42,46,49,54,69,70,70,72,72,,10,15,15,15,15,20,25,30,30,25,30,30,35,40,40,40,40,40,40,45,45,45,45,45,45,45,45,,,,,,,,,,A,,F,,,,,
2,8,10,27988, - Mx 1553#116,2,,0,0,5,3,5,4,7,7,10,12,12,16,17,19,22,29,36,40,49,57,61,68,70,73,77,91,94,102,114,126,128,130,129,,15,15,20,20,25,20,30,30,30,25,30,30,30,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,
2,8,9,27979, - Mx 1553#81,2,,2,4,4,3,1,2,1,1,1,1,2,3,5,4,4,7,7,9,9,10,15,18,20,20,23,24,25,23,27,27,27,27,27,,,,5,5,5,10,15,15,20,20,25,25,25,25,25,30,30,30,30,35,30,30,30,30,30,30,30,,,,,,,,A,,,F,,,,,,
2,8,8,27971, - Mx 1553#57,2,,1,1,0,1,2,6,6,7,7,7,7,7,8,9,8,13,13,14,16,16,18,20,20,21,24,26,27,34,40,40,41,41,41,,10,15,20,20,20,25,30,25,30,30,35,30,35,35,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,A,,,F,,,,,,
2,8,7,27963, - Mx 1553#73,2,,0,1,3,0,1,0,1,2,2,2,2,2,3,4,5,7,9,9,9,10,11,11,11,11,11,12,16,17,45,45,45,45,45,,15,15,15,20,20,20,30,25,30,25,35,35,30,35,40,40,40,45,45,50,50,50,50,50,50,50,50,,,,,,,,,,A,F,,,,,,
2,8,6,27955, - Mx 1553#76,2,,0,1,2,2,3,3,5,5,5,6,6,8,8,10,10,11,11,15,16,17,20,23,24,22,23,21,23,24,25,25,25,25,25,,15,20,20,30,30,25,35,35,35,30,35,35,35,35,35,35,35,40,40,40,40,40,35,35,35,30,30,,,,A,,,F,,,,,,,,,,
2,8,5,27946, - Mx 1553#112,2,,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,6,7,8,9,10,11,12,13,14,15,15,16,15,15,,5,10,5,15,15,15,20,20,20,20,25,20,20,20,25,30,35,35,40,40,40,40,40,40,35,35,35,,,,,,,,,,,,,,,,,
2,8,4,27937, - Mx 1553#67,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,8,3,27928, - Mx 1553#95,2,,0,0,1,2,3,3,3,4,4,4,4,4,6,6,8,13,14,16,17,17,17,17,17,17,17,18,17,18,20,23,23,23,23,,15,20,15,15,20,20,25,25,30,30,35,35,35,35,35,40,40,45,45,45,45,45,45,45,45,45,45,,,,,A,,F,,,,,,,,,,
2,8,2,27919, - Mx 1553#99,2,,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,7,10,8,10,10,10,10,10,10,10,10,10,11,12,11,11,12,,15,15,15,15,20,15,30,25,30,35,40,40,40,40,45,45,45,50,55,55,55,55,55,50,45,45,45,,,,,,,,,,,A,F,,,,,
2,8,1,27910, - Mx 1553#20,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,9,1,27911, - Mx 1553#11,2,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,10,15,20,20,20,25,30,30,35,30,35,35,40,40,40,40,35,35,35,35,35,30,25,25,25,25,25,,,,,,,A,,,F,,,,,,,
2,9,2,27920, - Mx 1553#71,2,,0,0,2,1,1,1,1,2,4,4,3,3,3,3,3,3,3,6,7,8,8,9,9,9,10,10,14,13,15,16,17,17,18,,15,10,15,15,15,15,25,30,25,25,30,25,25,25,25,30,30,30,30,35,35,35,35,30,30,30,30,,,,,,,,A,,F,,,,,,,
2,9,3,27929, - Mx 1553#2,2,,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,7,8,8,9,10,10,10,10,11,11,12,15,15,15,15,,15,15,20,20,25,20,30,25,30,35,40,40,45,50,50,45,45,40,40,40,40,40,40,40,40,40,40,,,,,,A,,,F,,,,,,,,
2,9,4,27938, - Mx 1553#34,2,,0,0,1,0,2,8,8,4,6,6,9,9,9,11,13,16,18,21,25,27,30,37,43,46,48,54,54,60,69,77,86,89,87,,15,20,20,20,20,25,30,30,30,30,40,40,35,35,40,45,45,45,50,45,50,50,50,50,50,50,50,,,,,,,,A/F,,,,,,,,,
2,9,5,27947, - Mx 1553#63,2,,1,2,5,3,3,3,2,3,3,3,7,9,9,14,14,17,19,20,21,21,23,23,23,24,24,24,26,27,35,39,44,44,44,,15,25,25,30,35,35,40,35,45,40,45,45,45,50,50,50,50,50,60,60,60,60,60,55,55,55,55,,,,,,,,A,F,,,,,,,,
2,9,6,ABR 15 FS B2-R9 C6, - Goliath,2,,0,0,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,5,6,7,8,9,10,10,11,12,12,12,17,17,17,17,17,,,10,15,20,25,30,35,35,40,45,70,60,65,70,75,70,65,60,65,70,70,75,75,75,70,65,65,,,,,,A,,,,F,,,,,,,
2,9,7,27964, - Mx 1553#61,2,,0,0,0,0,0,0,4,4,8,7,8,7,7,7,6,6,6,6,6,7,7,8,8,8,11,11,11,13,13,12,12,12,12,,,,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,
2,9,8,27972, - Mx 1553#45,2,,0,1,1,1,6,6,6,8,9,11,10,11,14,18,18,22,29,33,39,43,54,57,58,68,76,81,84,84,91,99,106,103,100,,10,10,15,15,15,15,20,20,20,20,30,30,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,A,,F,,,,,,,,,
2,9,9,27980, - Mx 1553#12,2,,0,0,2,2,2,3,8,11,12,11,13,14,14,16,16,19,26,37,44,44,50,56,58,65,69,71,73,81,102,106,107,107,107,,15,20,25,25,30,25,30,30,35,35,35,35,30,30,40,35,35,35,40,45,50,50,50,55,55,55,55,,,,,A,,,F,,,,,,,,,
2,9,10,27989, - Mx 1553#105,2,,0,0,0,0,0,1,2,3,3,3,3,3,3,4,3,3,4,5,5,5,5,7,6,7,8,7,9,13,15,16,16,16,16,,10,15,15,15,20,20,25,25,30,30,35,35,35,40,40,40,45,50,45,45,45,45,45,40,40,40,40,,,,,,,,,A,,,,F,,,,
2,9,11,27996, - Mx 1553#120,2,,0,7,15,17,15,15,20,23,24,28,32,36,41,46,50,50,60,65,73,74,74,81,87,88,88,100,100,100,106,126,136,133,134,,15,15,15,20,20,20,25,25,30,30,35,35,35,35,35,35,35,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,
2,9,12,28005, - Mx 1553#19,2,,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,5,5,5,8,8,9,12,12,13,14,17,19,22,26,29,29,30,30,,10,5,15,15,15,10,20,20,25,20,30,30,30,30,35,35,35,35,35,40,40,40,40,40,40,35,35,,,,,,,,A,,,F,,,,,,
3,1,1,28006, - Mx 1553#116,3,,1,1,6,13,14,14,14,14,20,20,20,24,26,39,40,50,56,60,62,71,79,91,90,96,97,103,110,111,154,157,128,138,141,,30,30,30,30,30,25,30,30,30,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
3,1,2,28015, - Mx 1553#91,3,,0,0,1,4,4,4,6,6,6,5,5,5,5,6,6,6,6,7,7,8,8,9,9,9,10,10,12,11,12,12,12,12,12,,15,20,25,25,25,20,25,25,30,25,30,25,25,30,30,30,30,30,30,30,30,25,25,25,25,25,25,,,,,,,,,,,,,,,,,
3,1,3,28023, - Mx 1553#96,3,,0,0,0,1,2,3,3,5,7,5,5,5,5,5,7,8,8,9,10,16,17,20,20,21,21,22,24,24,33,31,34,31,31,,5,5,10,10,15,10,15,15,20,20,20,20,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,,,,,,A,,,,,F,,,,,,
3,1,4,28032, - Mx 1553#14,3,,1,2,4,7,6,6,8,11,11,11,11,14,18,18,24,31,33,37,36,38,41,47,48,51,52,56,61,66,87,90,95,95,96,,5,5,10,10,15,15,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,A,,,F,,,,
3,1,5,28040, - Mx 1553#73,3,,0,1,2,4,8,9,9,9,9,9,9,9,9,9,10,16,23,26,27,30,30,31,31,31,31,31,31,31,44,44,45,47,47,,15,15,15,15,25,25,25,25,35,35,40,35,40,40,40,40,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,A,,F,,,,,,,
3,1,6,28049, - Mx 1553#79,3,,0,0,3,1,1,1,1,2,2,3,5,7,6,6,7,7,7,10,10,10,13,15,16,13,17,16,18,18,24,24,26,28,26,,5,10,15,15,20,15,25,25,25,25,35,35,35,40,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,A,,,F,,,,
3,1,7,28056, - Mx 1553#51,3,,2,5,10,9,9,9,8,6,8,9,14,15,17,20,20,23,30,34,6,41,43,45,47,48,48,52,54,56,58,58,57,58,56,,10,15,15,15,15,20,25,25,25,25,30,30,30,35,35,35,35,40,40,40,40,40,40,40,35,35,35,,,,,,,,,,,,,,,,,
3,1,8,28065, - Mx 1553#46,3,,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,4,4,5,5,5,6,9,10,11,11,11,13,16,18,17,19,,15,15,15,15,15,20,20,20,25,25,35,30,30,35,35,40,40,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,A,,F,
3,1,9,28074, - Mx 1553#56,3,,1,1,2,1,2,2,2,2,3,4,5,5,6,6,6,10,10,10,12,12,13,13,14,15,16,18,20,23,29,29,30,30,30,,25,30,35,40,40,45,45,45,50,50,55,50,55,55,55,60,60,65,65,65,65,65,65,65,65,65,65,,,,,,,,,A,F,,,,,,,
3,1,10,28083, - Mx 1553#3,3,,1,1,2,2,1,1,3,4,4,4,5,5,5,5,5,7,9,11,16,17,18,18,18,19,19,18,19,20,22,22,23,22,24,,15,15,20,20,25,25,30,30,30,35,40,40,40,40,45,45,45,45,50,50,50,50,50,50,50,50,50,,,,,,,,,,,,,,A,,,
3,1,11,28092, - Mx 1553#32,3,,1,2,2,3,4,4,3,3,3,4,7,8,11,12,12,13,15,17,18,19,20,26,27,26,28,34,33,37,46,47,49,49,50,,15,15,20,20,20,25,20,20,20,25,25,30,25,30,30,30,35,35,35,35,40,35,35,35,35,35,35,,,,,,,,,,,A,,,,,,
3,1,12,28101, - Mx 1553#68,3,,0,0,0,0,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,5,6,6,6,8,8,8,9,9,9,9,9,9,,15,15,20,20,15,25,25,25,25,30,35,30,30,35,35,40,35,35,35,35,30,30,30,30,30,30,30,,,,,,A,,,,F,,,,,,,
3,2,12,28102, - Mx 1553#5,3,,0,0,1,2,2,2,2,2,2,2,3,3,4,4,4,6,8,5,9,10,11,10,15,12,15,12,13,15,17,15,16,14,14,,5,10,10,10,10,10,10,10,10,15,15,15,15,10,15,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,
3,2,11,28093, - Mx 1553#55,3,,0,0,0,3,3,3,2,2,2,3,4,5,5,5,5,5,5,6,8,10,11,13,15,16,20,23,26,35,42,42,44,43,45,,15,15,20,25,25,25,30,30,30,30,35,35,40,50,50,50,50,55,50,50,50,50,50,50,50,50,45,,,,,A,,,,,F,,,,,,,
3,2,10,28084, - Mx 1553#70,3,,2,3,7,7,10,10,10,10,9,10,12,15,17,20,24,29,33,35,32,36,41,43,46,46,52,52,56,64,84,86,89,91,92,,25,30,30,40,40,40,45,45,50,50,50,50,50,55,60,60,60,65,65,65,65,65,65,65,60,60,60,,,,,A,,,,,F,,,,,,,
3,2,9,28075, - Mx 1553#24,3,,0,0,1,0,0,3,4,6,6,5,6,5,4,7,9,11,9,10,12,14,16,17,18,22,25,31,34,36,56,60,61,66,65,,5,15,15,10,10,10,15,15,12,10,20,20,20,20,25,25,35,40,40,40,40,45,45,45,45,45,45,,,,,,,,A,,,,F,,,,,
3,2,8,28066, - Mx 1553#93,3,,0,0,4,6,6,6,7,7,9,10,10,12,13,16,29,39,45,46,47,47,54,55,59,58,62,62,64,68,79,78,84,83,80,,20,25,35,35,40,40,45,50,50,50,55,60,60,65,65,65,65,65,65,65,65,65,65,65,60,60,60,,,,A,,,F,,,,,,,,,,
3,2,7,28057, - Mx 1553#113,3,,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,6,6,8,9,9,11,11,11,11,12,12,13,14,16,17,17,17,17,,15,25,20,20,25,25,30,30,35,35,40,40,45,45,45,45,45,50,45,45,45,45,45,40,40,40,40,,,,,A,,F,,,,,,,,,,
3,2,6,28050, - Mx 1553#48,3,,0,0,0,0,0,1,1,3,4,5,6,6,6,6,8,9,14,15,17,18,21,24,25,27,25,28,32,32,36,39,38,40,39,,,5,5,10,15,10,15,15,15,20,20,20,20,25,25,25,25,30,30,30,30,35,35,35,35,35,35,,,,,,,,,,,,,,,A,,
3,2,5,28041, - Mx 1553#9,3,,0,0,1,8,11,11,10,12,13,17,17,18,22,20,21,23,23,25,23,29,27,29,33,29,35,30,32,31,35,35,36,35,38,,10,15,15,15,15,15,20,20,20,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,
3,2,4,28033, - Mx 1553#57,3,,0,1,1,3,3,4,4,3,4,7,8,8,9,11,12,15,19,19,19,19,18,18,19,20,20,19,21,20,23,23,21,23,23,,5,10,10,15,15,15,20,15,15,15,15,15,15,20,20,20,25,30,30,35,35,35,35,35,35,35,35,,,,,A,F,,,,,,,,,,,
3,2,3,ABR 15 FS B3-R2 C3, - Mx 1553#78,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,8,7,6,6,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,5,5,5,5,,,,,,,,,,,,,,,,,
3,2,2,28016, - Mx 1553#108,3,,0,1,1,1,2,0,1,1,1,1,1,2,6,6,7,7,7,12,13,14,16,18,19,20,23,24,24,23,29,30,28,29,31,,5,5,5,5,5,10,10,10,10,10,15,15,15,20,25,25,30,35,35,40,40,40,40,40,40,40,40,,,,,,,,,,,A,F,,,,,
3,2,1,28007, - Mx 1553#23,3,,1,2,5,4,8,7,7,6,5,5,8,10,12,14,16,18,17,21,22,24,27,27,27,28,30,30,30,30,39,42,45,43,43,,20,25,25,25,25,25,30,30,35,40,40,40,45,45,45,50,50,55,50,50,55,55,55,55,55,55,50,,,,,,A,,,,,F,,,,,,
3,3,1,28008, - Mx 1553#101,3,,0,0,1,1,1,1,1,3,4,3,3,3,3,4,4,5,6,6,8,8,8,10,10,10,10,11,15,16,24,25,27,30,30,,15,20,20,25,25,25,40,45,45,45,50,50,45,50,50,50,55,55,55,60,60,60,60,60,60,60,60,,,,,,,,,,A,,F,,,,,
3,3,2,ABR 15 FS B3-R3 C2, - Goliath,3,,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,7,7,8,9,11,11,11,11,12,13,13,13,16,16,16,16,15,,25,25,25,30,20,20,45,40,40,45,50,45,50,55,55,55,55,55,50,55,55,60,60,60,55,55,55,,,,,F,,,,,,,,,,,,
3,3,3,28025, - Mx 1553#34,3,,0,0,1,6,6,9,10,13,14,14,15,16,17,18,21,23,27,32,34,35,38,41,41,41,43,47,50,61,85,93,93,96,93,,15,20,20,20,20,20,25,25,30,30,35,30,30,35,35,35,35,35,35,35,40,40,40,40,40,40,40,,,,,,,,,,,,F,,,,,
3,3,4,ABR 15 FS B3-R3 C4, - Goliath,3,,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,6,6,7,7,8,10,11,10,12,13,13,16,17,17,21,21,18,,25,25,25,30,35,35,40,50,50,50,50,55,60,65,65,60,60,65,65,70,65,65,60,60,60,60,60,,,,,F,,,,,,,,,,,,
3,3,5,28042, - Mx 1553#119,3,,1,1,4,6,4,4,3,4,6,5,7,7,9,9,9,13,16,16,19,20,23,24,25,25,24,25,34,36,53,57,56,62,60,,20,25,25,30,35,30,50,45,50,45,50,45,50,50,50,55,55,55,60,60,60,60,60,55,50,50,50,,,,A,F,,,,,,,,,,,,
3,3,6,28051, - Mx 1553#2,3,,0,2,4,2,4,5,4,5,5,5,5,5,6,6,6,7,9,16,18,19,21,22,22,24,24,22,24,25,29,28,30,30,30,,15,15,20,20,20,25,30,30,35,35,40,40,40,40,45,45,45,45,45,45,45,45,40,40,40,40,40,,,,,,A,,,F,,,,,,,,
3,3,7,28058, - Mx 1553#37,3,,0,0,1,1,1,1,1,2,3,3,3,4,5,5,6,6,7,7,7,8,9,12,16,19,19,20,21,22,28,26,26,26,25,,10,10,15,15,20,20,20,25,20,20,30,30,30,35,35,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,A,F,,,,,,
3,3,8,28067, - Mx 1553#28,3,,0,1,2,2,2,2,2,2,2,4,4,3,3,3,4,4,7,8,8,9,9,9,9,9,11,14,16,17,22,22,24,24,24,,15,15,15,15,15,20,20,25,30,25,35,35,35,35,35,35,40,45,45,50,50,50,45,45,45,45,45,,,,,,,,,,A,,,F,,,,
3,3,9,28076, - Mx 1553#47,3,,1,1,3,2,3,8,9,8,6,9,12,13,17,19,21,14,22,26,33,36,38,44,47,48,50,61,61,74,94,95,95,99,99,,10,10,15,15,15,15,20,20,20,20,30,30,30,40,40,40,45,45,50,50,50,55,55,55,55,55,55,,,,,,,,,,,A,,,,F,,
3,3,10,28085, - Mx 1553#87,3,,0,0,0,0,0,4,4,4,4,4,4,4,4,4,5,7,12,12,12,12,15,15,14,16,16,16,21,23,25,28,32,28,28,,15,15,20,20,20,30,35,35,35,40,40,45,50,55,55,55,55,55,60,60,60,65,65,65,60,60,60,,,,,,,,,,,,A,,,,,
3,3,11,28094, - Mx 1553#80,3,,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,4,4,4,5,8,9,10,10,13,13,17,17,27,28,28,28,27,,15,15,20,15,15,15,20,20,25,20,30,30,30,30,30,30,30,35,35,35,35,35,35,30,30,35,35,,,,,,A,,F,,,,,,,,,
3,3,12,28103, - Mx 1553#41,3,,1,4,5,3,6,9,9,10,11,11,13,15,18,20,25,31,39,41,47,48,49,51,53,54,58,63,66,81,110,125,129,126,127,,15,20,20,20,30,20,30,25,30,30,35,40,40,45,45,45,45,45,45,50,50,50,50,50,50,50,50,,,,,,,,A,,,F,,,,,,
